"key","en","es","ar","de"
"bottle-store_small-backpack","Put the bottle in the backpack.","Pon la botella en la mochila.","ضع الزجاجة في حقيبة الظهر.","Lege die Flasche in den Rucksack."
"bottle-store_small-backpack__color__blue","Put the bottle in the blue backpack.","Pon la botella en la mochila azul.","ضع الزجاجة في حقيبة الظهر الزرقاء.","Lege die Flasche in den blauen Rucksack."
"bottle-store_small-backpack__color__red","Put the bottle in the red backpack.","Mete la botella en la mochila roja.","ضع الزجاجة في حقيبة الظهر الحمراء.","Lege die Flasche in den roten Rucksack."
"bottle-store_medium-car","Put the bottle in the car.","Mete la botella en el coche.","ضع الزجاجة في السيارة.","Lege die Flasche in das Auto."
"bottle-store_medium-car__color__black","Put the bottle in the black car.","Mete la botella en el coche negro.","ضع الزجاجة في السيارة السوداء.","Lege die Flasche in das schwarze Auto."
"bottle-store_medium-car__color__blue","Put the bottle in the blue car.","Mete la botella en el coche azul.","ضع الزجاجة في السيارة الزرقاء.","Lege die Flasche in das blaue Auto."
"bottle-store_medium-car__color__green","Put the bottle in the green car.","Mete la botella en el coche verde.","ضع الزجاجة في السيارة الخضراء.","Lege die Flasche in das grüne Auto."
"bottle-store_medium-car__color__orange","Put the bottle in the orange car.","Mete la botella en el coche naranja.","ضع الزجاجة في السيارة البرتقالية.","Lege die Flasche in das orangefarbene Auto."
"bottle-store_medium-car__color__pink","Put the bottle in the pink car.","Mete la botella en el coche rosa.","ضع الزجاجة في السيارة الوردية.","Lege die Flasche in das rosa Auto."
"bottle-store_medium-car__color__purple","Put the bottle in the purple car.","Mete la botella en el coche morado.","ضع الزجاجة في السيارة البنفسجية.","Lege die Flasche in das lila Auto."
"bottle-store_medium-car__color__red","Put the bottle in the red car.","Pon la botella en el coche rojo.","ضع الزجاجة في السيارة الحمراء.","Lege die Flasche in das rote Auto."
"bottle-store_medium-car__color__silver","Put the bottle in the silver car.","Pon la botella en el coche plateado.","ضع الزجاجة في السيارة الفضية.","Lege die Flasche in das silberne Auto."
