"key","en","ar","de"
"bottle-store_small-backpack","Put the bottle in the backpack.","ضع الزجاجة في حقيبة الظهر.",
"bottle-store_small-backpack__color__blue","Put the bottle in the blue backpack.","ضع الزجاجة في حقيبة الظهر الزرقاء.",
"bottle-store_small-backpack__color__red","Put the bottle in the red backpack.","ضع الزجاجة في حقيبة الظهر الحمراء.",
"bottle-store_medium-car","Put the bottle in the car.","ضع الزجاجة في السيارة.",
"bottle-store_medium-car__color__black","Put the bottle in the black car.","ضع الزجاجة في السيارة السوداء.",
"bottle-store_medium-car__color__blue","Put the bottle in the blue car.","ضع الزجاجة في السيارة الزرقاء.",
"bottle-store_medium-car__color__green","Put the bottle in the green car.","ضع الزجاجة في السيارة الخضراء.",
"bottle-store_medium-car__color__orange","Put the bottle in the orange car.","ضع الزجاجة في السيارة البرتقالية.",
"bottle-store_medium-car__color__pink","Put the bottle in the pink car.","ضع الزجاجة في السيارة الوردية.",
"bottle-store_medium-car__color__purple","Put the bottle in the purple car.","ضع الزجاجة في السيارة البنفسجية.",
"bottle-store_medium-car__color__red","Put the bottle in the red car.","ضع الزجاجة في السيارة الحمراء.",
"bottle-store_medium-car__color__silver","Put the bottle in the silver car.","ضع الزجاجة في السيارة الفضية.",
"bottle-store_medium-car__color__white","Put the bottle in the white car.","ضع الزجاجة في السيارة البيضاء.",
"bottle-store_medium-car__color__yellow","Put the bottle in the yellow car.","ضع الزجاجة في السيارة الصفراء.",
"bottle-store_medium-car__age__new","Put the bottle in the new car.","ضع الزجاجة في السيارة الجديدة.",
"bottle-store_medium-car__age__old","Put the bottle in the old car.","ضع الزجاجة في السيارة القديمة.",
"dog-store_medium-car","Put the dog in the car.","ضع الكلب في السيارة.",
"dog-store_medium-car__color__black","Put the dog in the black car.","ضع الكلب في السيارة السوداء.",
"dog__size__big-store_medium-car","Put the big dog in the car.","ضع الكلب الكبير في السيارة.",
"dog__size__big-store_medium-car__color__black","Put the big dog in the black car.","ضع الكلب الكبير في السيارة السوداء.",
"dog-store_medium-car__color__blue","Put the dog in the blue car.","ضع الكلب في السيارة الزرقاء.",
"dog__size__big-store_medium-car__color__blue","Put the big dog in the blue car.","ضع الكلب الكبير في السيارة الزرقاء.",
"dog-store_medium-car__color__green","Put the dog in the green car.","ضع الكلب في السيارة الخضراء.",
"dog__size__big-store_medium-car__color__green","Put the big dog in the green car.","ضع الكلب الكبير في السيارة الخضراء.",
"dog-store_medium-car__color__orange","Put the dog in the orange car.","ضع الكلب في السيارة البرتقالية.",
"dog__size__big-store_medium-car__color__orange","Put the big dog in the orange car.","ضع الكلب الكبير في السيارة البرتقالية.",
"dog-store_medium-car__color__pink","Put the dog in the pink car.","ضع الكلب في السيارة الوردية.",
"dog__size__big-store_medium-car__color__pink","Put the big dog in the pink car.","ضع الكلب الكبير في السيارة الوردية.",
