"key","en","ar","de"
"bottle-store_small-backpack","Put the bottle in the backpack.","ضع الزجاجة في حقيبة الظهر.","Lege die Flasche in den Rucksack."
"bottle-store_small-backpack__color__blue","Put the bottle in the blue backpack.","ضع الزجاجة في حقيبة الظهر الزرقاء.","Lege die Flasche in den blauen Rucksack."
"bottle-store_small-backpack__color__red","Put the bottle in the red backpack.","ضع الزجاجة في حقيبة الظهر الحمراء.","Lege die Flasche in den roten Rucksack."
"bottle-store_medium-car","Put the bottle in the car.","ضع الزجاجة في السيارة.","Lege die Flasche in das Auto."
"bottle-store_medium-car__color__black","Put the bottle in the black car.","ضع الزجاجة في السيارة السوداء.","Lege die Flasche in das schwarze Auto."
"bottle-store_medium-car__color__blue","Put the bottle in the blue car.","ضع الزجاجة في السيارة الزرقاء.","Lege die Flasche in das blaue Auto."
"bottle-store_medium-car__color__green","Put the bottle in the green car.","ضع الزجاجة في السيارة الخضراء.","Lege die Flasche in das grüne Auto."
"bottle-store_medium-car__color__orange","Put the bottle in the orange car.","ضع الزجاجة في السيارة البرتقالية.","Lege die Flasche in das orangefarbene Auto."
"bottle-store_medium-car__color__pink","Put the bottle in the pink car.","ضع الزجاجة في السيارة الوردية.","Lege die Flasche in das rosa Auto."
"bottle-store_medium-car__color__purple","Put the bottle in the purple car.","ضع الزجاجة في السيارة البنفسجية.","Lege die Flasche in das lila Auto."
"bottle-store_medium-car__color__red","Put the bottle in the red car.","ضع الزجاجة في السيارة الحمراء.","Lege die Flasche in das rote Auto."
"bottle-store_medium-car__color__silver","Put the bottle in the silver car.","ضع الزجاجة في السيارة الفضية.","Lege die Flasche in das silberne Auto."
"bottle-store_medium-car__color__white","Put the bottle in the white car.","ضع الزجاجة في السيارة البيضاء.","Lege die Flasche in das weiße Auto."
"bottle-store_medium-car__color__yellow","Put the bottle in the yellow car.","ضع الزجاجة في السيارة الصفراء.","Lege die Flasche in das gelbe Auto."
"bottle-store_medium-car__age__new","Put the bottle in the new car.","ضع الزجاجة في السيارة الجديدة.","Lege die Flasche in das neue Auto."
"bottle-store_medium-car__age__old","Put the bottle in the old car.","ضع الزجاجة في السيارة القديمة.","Lege die Flasche in das alte Auto."
"dog-store_medium-car","Put the dog in the car.","ضع الكلب في السيارة.","Lege den Hund in das Auto."
"dog-store_medium-car__color__black","Put the dog in the black car.","ضع الكلب في السيارة السوداء.","Lege den Hund in das schwarze Auto."
"dog__size__big-store_medium-car","Put the big dog in the car.","ضع الكلب الكبير في السيارة.","Setze den großen Hund in das Auto."
"dog__size__big-store_medium-car__color__black","Put the big dog in the black car.","ضع الكلب الكبير في السيارة السوداء.","Setze den großen Hund in das schwarze Auto."
"dog-store_medium-car__color__blue","Put the dog in the blue car.","ضع الكلب في السيارة الزرقاء.","Setze den Hund in das blaue Auto."
"dog__size__big-store_medium-car__color__blue","Put the big dog in the blue car.","ضع الكلب الكبير في السيارة الزرقاء.","Setze den großen Hund in das blaue Auto."
"dog-store_medium-car__color__green","Put the dog in the green car.","ضع الكلب في السيارة الخضراء.","Setze den Hund in das grüne Auto."
"dog__size__big-store_medium-car__color__green","Put the big dog in the green car.","ضع الكلب الكبير في السيارة الخضراء.","Setze den großen Hund in das grüne Auto."
"dog-store_medium-car__color__orange","Put the dog in the orange car.","ضع الكلب في السيارة البرتقالية.","Setze den Hund in das orangefarbene Auto."
"dog__size__big-store_medium-car__color__orange","Put the big dog in the orange car.","ضع الكلب الكبير في السيارة البرتقالية.","Setze den großen Hund in das orangefarbene Auto."
"dog-store_medium-car__color__pink","Put the dog in the pink car.","ضع الكلب في السيارة الوردية.","Setze den Hund in das rosa Auto."
"dog__size__big-store_medium-car__color__pink","Put the big dog in the pink car.","ضع الكلب الكبير في السيارة الوردية.","Setze den großen Hund in das rosa Auto."
"dog-store_medium-car__color__purple","Put the dog in the purple car.","ضع الكلب في السيارة الأرجوانية.","Setze den Hund in das lila Auto."
"dog__size__big-store_medium-car__color__purple","Put the big dog in the purple car.","ضع الكلب الكبير في السيارة الأرجوانية.","Setze den großen Hund in das lila Auto."
"dog-store_medium-car__color__red","Put the dog in the red car.","ضع الكلب في السيارة الحمراء.","Setze den Hund in das rote Auto."
"dog__size__big-store_medium-car__color__red","Put the big dog in the red car.","ضع الكلب الكبير في السيارة الحمراء.","Setze den großen Hund in das rote Auto."
"dog-store_medium-car__color__silver","Put the dog in the silver car.","ضع الكلب في السيارة الفضية.","Setze den Hund in das silberne Auto."
"dog__size__big-store_medium-car__color__silver","Put the big dog in the silver car.","ضع الكلب الكبير في السيارة الفضية.","Setze den großen Hund in das silberne Auto."
"dog-store_medium-car__color__white","Put the dog in the white car.","ضع الكلب في السيارة البيضاء.","Setze den Hund in das weiße Auto."
"dog__size__big-store_medium-car__color__white","Put the big dog in the white car.","ضع الكلب الكبير في السيارة البيضاء.","Setze den großen Hund in das weiße Auto."
"dog-store_medium-car__color__yellow","Put the dog in the yellow car.","ضع الكلب في السيارة الصفراء.","Setze den Hund in das gelbe Auto."
"dog__size__big-store_medium-car__color__yellow","Put the big dog in the yellow car.","ضع الكلب الكبير في السيارة الصفراء.","Setze den großen Hund in das gelbe Auto."
"dog-store_medium-car__age__new","Put the dog in the new car.","ضع الكلب في السيارة الجديدة.","Setze den Hund in das neue Auto."
"dog__size__big-store_medium-car__age__new","Put the big dog in the new car.","ضع الكلب الكبير في السيارة الجديدة.","Setze den großen Hund in das neue Auto."
"dog-store_medium-car__age__old","Put the dog in the old car.","ضع الكلب في السيارة القديمة.","Setze den Hund in das alte Auto."
"dog__size__big-store_medium-car__age__old","Put the big dog in the old car.","ضع الكلب الكبير في السيارة القديمة.","Setze den großen Hund in das alte Auto."
"dog__size__small-store_medium-car","Put the small dog in the car.","ضع الكلب الصغير في السيارة.","Setze den kleinen Hund in das Auto."
"dog__size__small-store_medium-car__color__black","Put the small dog in the black car.","ضع الكلب الصغير في السيارة السوداء.","Setze den kleinen Hund in das schwarze Auto."
"dog__size__small-store_medium-car__color__blue","Put the small dog in the blue car.","ضع الكلب الصغير في السيارة الزرقاء.","Setze den kleinen Hund in das blaue Auto."
"dog__size__small-store_medium-car__color__green","Put the small dog in the green car.","ضع الكلب الصغير في السيارة الخضراء.","Setze den kleinen Hund in das grüne Auto."
"dog__size__small-store_medium-car__color__orange","Put the small dog in the orange car.","ضع الكلب الصغير في السيارة البرتقالية.","Setze den kleinen Hund in das orangefarbene Auto."
"dog__size__small-store_medium-car__color__pink","Put the small dog in the pink car.","ضع الكلب الصغير في السيارة الوردية.","Setze den kleinen Hund in das rosa Auto."
"dog__size__small-store_medium-car__color__purple","Put the small dog in the purple car.","ضع الكلب الصغير في السيارة البنفسجية.","Setze den kleinen Hund in das lila Auto."
"dog__size__small-store_medium-car__color__red","Put the small dog in the red car.","ضع الكلب الصغير في السيارة الحمراء.","Setze den kleinen Hund in das rote Auto."
"dog__size__small-store_medium-car__color__silver","Put the small dog in the silver car.","ضع الكلب الصغير في السيارة الفضية.","Setze den kleinen Hund in das silberne Auto."
"dog__size__small-store_medium-car__color__white","Put the small dog in the white car.","ضع الكلب الصغير في السيارة البيضاء.","Setze den kleinen Hund in das weiße Auto."
"dog__size__small-store_medium-car__color__yellow","Put the small dog in the yellow car.","ضع الكلب الصغير في السيارة الصفراء.","Setze den kleinen Hund in das gelbe Auto."
"dog__size__small-store_medium-car__age__new","Put the small dog in the new car.","ضع الكلب الصغير في السيارة الجديدة.","Setze den kleinen Hund in das neue Auto."
"dog__size__small-store_medium-car__age__old","Put the small dog in the old car.","ضع الكلب الصغير في السيارة القديمة.","Setze den kleinen Hund in das alte Auto."
"notebook-store_small-backpack","Put the notebook in the backpack.","ضع الدفتر في حقيبة الظهر.","Lege das Notizbuch in den Rucksack."
"notebook-store_small-backpack__color__blue","Put the notebook in the blue backpack.","ضع الدفتر في حقيبة الظهر الزرقاء.","Lege das Notizbuch in den blauen Rucksack."
"notebook-store_small-backpack__color__red","Put the notebook in the red backpack.","ضع الدفتر في حقيبة الظهر الحمراء.","Legen Sie das Notizbuch in den roten Rucksack."
"notebook-store_medium-car","Put the notebook in the car.","ضع الدفتر في السيارة.","Legen Sie das Notizbuch in das Auto."
"notebook-store_medium-car__color__black","Put the notebook in the black car.","ضع الدفتر في السيارة السوداء.","Lege das Notizbuch in das schwarze Auto."
"notebook-store_medium-car__color__blue","Put the notebook in the blue car.","ضع الدفتر في السيارة الزرقاء.","Lege das Notizbuch in das blaue Auto."
"notebook-store_medium-car__color__green","Put the notebook in the green car.","ضع الدفتر في السيارة الخضراء.","Lege das Notizbuch in das grüne Auto."
"notebook-store_medium-car__color__orange","Put the notebook in the orange car.","ضع الدفتر في السيارة البرتقالية.","Lege das Notizbuch in das orangefarbene Auto."
"notebook-store_medium-car__color__pink","Put the notebook in the pink car.","ضع الدفتر في السيارة الوردية.","Lege das Notizbuch in das rosa Auto."
"notebook-store_medium-car__color__purple","Put the notebook in the purple car.","ضع الدفتر في السيارة البنفسجية.","Lege das Notizbuch in das lila Auto."
"notebook-store_medium-car__color__red","Put the notebook in the red car.","ضع الدفتر في السيارة الحمراء.","Lege das Notizbuch in das rote Auto."
"notebook-store_medium-car__color__silver","Put the notebook in the silver car.","ضع الدفتر في السيارة الفضية.","Legen Sie das Notizbuch in das silberne Auto."
"notebook-store_medium-car__color__white","Put the notebook in the white car.","ضع الدفتر في السيارة البيضاء.","Legen Sie das Notizbuch in das weiße Auto."
"notebook-store_medium-car__color__yellow","Put the notebook in the yellow car.","ضع الدفتر في السيارة الصفراء.","Legen Sie das Notizbuch in das gelbe Auto."
"notebook-store_medium-car__age__new","Put the notebook in the new car.","ضع الدفتر في السيارة الجديدة.","Legen Sie das Notizbuch in das neue Auto."
"notebook-store_medium-car__age__old","Put the notebook in the old car.","ضع الدفتر في السيارة القديمة.","Legen Sie das Notizbuch in das alte Auto."
"shirt-store_small-backpack__color__red","Put the shirt in the red backpack.","ضع القميص في الحقيبة الحمراء.","Lege das Hemd in den roten Rucksack."
"shirt-store_medium-car","Put the shirt in the car.","ضع القميص في السيارة.","Lege das Hemd in das Auto."
"shirt-store_medium-car__color__black","Put the shirt in the black car.","ضع القميص في السيارة السوداء.","Lege das Hemd in das schwarze Auto."
"shirt-store_medium-car__color__blue","Put the shirt in the blue car.","ضع القميص في السيارة الزرقاء.","Lege das Hemd in das blaue Auto."
"shirt-store_medium-car__color__green","Put the shirt in the green car.","ضع القميص في السيارة الخضراء.","Lege das Hemd in das grüne Auto."
"shirt-store_medium-car__color__orange","Put the shirt in the orange car.","ضع القميص في السيارة البرتقالية.","Lege das Hemd in das orangefarbene Auto."
"shirt-store_medium-car__color__pink","Put the shirt in the pink car.","ضع القميص في السيارة الوردية.","Legen Sie das Hemd in das rosa Auto."
"shirt-store_medium-car__color__purple","Put the shirt in the purple car.","ضع القميص في السيارة البنفسجية.","Legen Sie das Hemd in das lila Auto."
"shirt-store_medium-car__color__red","Put the shirt in the red car.","ضع القميص في السيارة الحمراء.","Legen Sie das Hemd in das rote Auto."
"shirt-store_medium-car__color__silver","Put the shirt in the silver car.","ضع القميص في السيارة الفضية.","Legen Sie das Hemd in das silberne Auto."
"shirt-store_medium-car__color__white","Put the shirt in the white car.","ضع القميص في السيارة البيضاء.","Legen Sie das Hemd in das weiße Auto."
"shirt-store_medium-car__color__yellow","Put the shirt in the yellow car.","ضع القميص في السيارة الصفراء.","Legen Sie das Hemd in das gelbe Auto."
"shirt-store_medium-car__age__new","Put the shirt in the new car.","ضع القميص في السيارة الجديدة.","Lege das Hemd in das neue Auto."
"shirt-store_medium-car__age__old","Put the shirt in the old car.","ضع القميص في السيارة القديمة.","Legen Sie das Hemd in das alte Auto."
"shoes-store_small-backpack","Put the shoes in the backpack.","ضع الحذاء في حقيبة الظهر.","Lege die Schuhe in den Rucksack."
"shoes-store_small-backpack__color__blue","Put the shoes in the blue backpack.","ضع الحذاء في حقيبة الظهر الزرقاء.","Legen Sie die Schuhe in den blauen Rucksack."
"shoes-store_small-backpack__color__red","Put the shoes in the red backpack.","ضع الحذاء في حقيبة الظهر الحمراء.","Legen Sie die Schuhe in den roten Rucksack."
